feature,importance
sub_grade,0.25294814
open_rv_12m,0.028332412
int_rate,0.020259397
delinq_amnt,0.014733524
num_tl_120dpd_2m,0.014126069
num_sats,0.013880664
max_bal_bc,0.013727429
all_util,0.013639638
num_tl_30dpd,0.01326977
funded_amnt,0.013122588
num_rev_tl_bal_gt_0,0.012815685
home_ownership_ANY,0.012495138
avg_cur_bal,0.012405588
funded_amnt_inv,0.012338404
tot_hi_cred_lim,0.012275198
verification_status_Not Verified,0.012219078
num_tl_op_past_12m,0.012158654
home_ownership_RENT,0.012086445
acc_now_delinq,0.012074995
total_bal_ex_mort,0.011981668
home_ownership_MORTGAGE,0.011905385
total_bc_limit,0.011823528
tax_liens,0.011815718
total_il_high_credit_limit,0.011601027
home_ownership_OTHER,0.01149859
bc_util,0.011359197
collections_12_mths_ex_med,0.011195205
total_rev_hi_lim,0.011179535
inq_last_12m,0.011150524
bc_open_to_buy,0.011136213
total_bal_il,0.011134979
num_bc_sats,0.011007207
num_op_rev_tl,0.011005281
num_rev_accts,0.010970456
verification_status_Verified,0.010871977
pct_tl_nvr_dlq,0.010816131
percent_bc_gt_75,0.010798877
installment,0.010720548
inq_last_6mths,0.01068366
revol_util,0.010539878
mths_since_recent_inq,0.0105253905
pub_rec_bankruptcies,0.010506757
num_bc_tl,0.010501749
chargeoff_within_12_mths,0.010455899
open_il_12m,0.010449368
mort_acc,0.010417231
num_il_tl,0.010381986
inq_fi,0.010273474
num_actv_bc_tl,0.01019617
tot_coll_amt,0.010168403
num_tl_90g_dpd_24m,0.01015037
num_actv_rev_tl,0.010115556
revol_bal,0.010112838
tot_cur_bal,0.010103963
total_acc,0.009910855
dti,0.009882389
open_act_il,0.0098615475
verification_status_Source Verified,0.009709686
total_cu_tl,0.009618955
annual_inc,0.00934452
fico_range_low,0.009269551
delinq_2yrs,0.0091523975
home_ownership_OWN,0.009116059
pub_rec,0.009043234
open_acc,0.008874652
loan_amnt,0.0077526052
fico_range_high,0.0
home_ownership_NONE,0.0
