feature,importance
sub_grade,0.43262595
int_rate,0.032398067
open_rv_12m,0.017330129
verification_status_Not Verified,0.016667884
max_bal_bc,0.015992604
inq_last_12m,0.012373686
home_ownership_RENT,0.011944051
home_ownership_MORTGAGE,0.011814487
home_ownership_NONE,0.011797786
all_util,0.01160103
funded_amnt,0.011203794
num_tl_op_past_12m,0.010534489
avg_cur_bal,0.010369429
inq_last_6mths,0.010252346
num_sats,0.009622687
funded_amnt_inv,0.009406402
installment,0.009258163
num_rev_tl_bal_gt_0,0.009155217
tot_hi_cred_lim,0.009125729
total_bal_ex_mort,0.008280323
total_il_high_credit_limit,0.008265906
total_bc_limit,0.008230929
verification_status_Verified,0.008157552
mths_since_recent_inq,0.007946176
bc_util,0.007841991
percent_bc_gt_75,0.007823907
num_op_rev_tl,0.007822795
total_rev_hi_lim,0.0077654636
dti,0.00775863
revol_bal,0.007712406
num_actv_rev_tl,0.0076392805
bc_open_to_buy,0.0076344735
pct_tl_nvr_dlq,0.007585931
total_bal_il,0.007578308
num_bc_sats,0.0075576105
num_bc_tl,0.007501805
num_rev_accts,0.0074578244
mort_acc,0.007456078
pub_rec_bankruptcies,0.007430853
num_tl_30dpd,0.007415095
tax_liens,0.0074066557
annual_inc,0.007396441
fico_range_low,0.007358812
revol_util,0.0073087527
tot_coll_amt,0.007249303
num_il_tl,0.0072444803
open_il_12m,0.0072066183
tot_cur_bal,0.0071708327
delinq_amnt,0.0070617194
verification_status_Source Verified,0.007016025
num_tl_90g_dpd_24m,0.0069889887
num_actv_bc_tl,0.0069483286
home_ownership_OWN,0.00693867
inq_fi,0.0069292984
total_acc,0.0068838303
open_act_il,0.0067256037
pub_rec,0.0066325865
collections_12_mths_ex_med,0.006546592
delinq_2yrs,0.0064115305
total_cu_tl,0.0063761165
loan_amnt,0.006330352
acc_now_delinq,0.006215305
open_acc,0.0059028827
chargeoff_within_12_mths,0.00581546
num_tl_120dpd_2m,0.0050615594
home_ownership_ANY,0.0045359912
fico_range_high,0.0
home_ownership_OTHER,0.0
